,optimizer,base_neurons,layers,activation,loss,metric,eval_metric,Метрика R2
0,adam,20,2,linear,MAE,MeanAbsolutePercentageError,24.268945693969727,0.2987222664274577
1,adam,20,2,linear,MAE,MAE,4.182706832885742,0.3428148273745135
2,adam,20,2,linear,MAE,MSE,34.652549743652344,0.5051554295526666
3,adam,20,2,linear,MSE,MeanAbsolutePercentageError,44.767913818359375,-0.36613528518318783
4,adam,20,2,linear,MSE,MAE,8.441826820373535,-0.45272748027781873
5,adam,20,2,linear,MSE,MSE,90.87010955810547,-0.2976411996932349
6,adam,20,2,linear,Huber,MeanAbsolutePercentageError,24.669448852539062,0.2674256843777819
7,adam,20,2,linear,Huber,MAE,3.7629754543304443,0.45389318049710814
8,adam,20,2,linear,Huber,MSE,38.452816009521484,0.4508869947361721
9,adam,20,2,linear,LogCosh,MeanAbsolutePercentageError,20.094968795776367,0.47401029734047573
10,adam,20,2,linear,LogCosh,MAE,3.742295265197754,0.44723875431118176
11,adam,20,2,linear,LogCosh,MSE,43.03440856933594,0.38546100981414955
12,adam,20,2,elu,MAE,MeanAbsolutePercentageError,26.350175857543945,0.13561232425566005
13,adam,20,2,elu,MAE,MAE,3.3072876930236816,0.6045335629180661
14,adam,20,2,elu,MAE,MSE,28.112651824951172,0.5985463386940386
15,adam,20,2,elu,MSE,MeanAbsolutePercentageError,21.761150360107422,0.4927180570634061
16,adam,20,2,elu,MSE,MAE,4.254891395568848,0.4677273518233225
17,adam,20,2,elu,MSE,MSE,38.03327178955078,0.4568781639331341
18,adam,20,2,elu,Huber,MeanAbsolutePercentageError,17.355300903320312,0.5776355938213216
19,adam,20,2,elu,Huber,MAE,3.692913770675659,0.5132090474477322
20,adam,20,2,elu,Huber,MSE,29.421228408813477,0.5798596365797697
21,adam,20,2,elu,LogCosh,MeanAbsolutePercentageError,16.71320915222168,0.6289333006133644
22,adam,20,2,elu,LogCosh,MAE,3.468687057495117,0.5857623138765451
23,adam,20,2,elu,LogCosh,MSE,31.20105743408203,0.5544434006546112
24,adam,20,2,relu,MAE,MeanAbsolutePercentageError,22.440105438232422,0.4776904395131045
25,adam,20,2,relu,MAE,MAE,5.249385833740234,0.3004744373325926
26,adam,20,2,relu,MAE,MSE,29.436573028564453,0.5796405357833494
27,adam,20,2,relu,MSE,MeanAbsolutePercentageError,26.869836807250977,0.35382915754734445
28,adam,20,2,relu,MSE,MAE,4.428951263427734,0.4430217005828887
29,adam,20,2,relu,MSE,MSE,33.86349868774414,0.5164232200626664
30,adam,20,2,relu,Huber,MeanAbsolutePercentageError,18.771865844726562,0.5480692147509153
31,adam,20,2,relu,Huber,MAE,3.501969575881958,0.590243465753174
32,adam,20,2,relu,Huber,MSE,32.70778274536133,0.5329271259558834
33,adam,20,2,relu,LogCosh,MeanAbsolutePercentageError,18.114341735839844,0.5729005814980986
34,adam,20,2,relu,LogCosh,MAE,3.5949347019195557,0.5659757554467917
35,adam,20,2,relu,LogCosh,MSE,29.52022361755371,0.5784459838802544
36,adam,20,2,tanh,MAE,MeanAbsolutePercentageError,28.985130310058594,-0.31401387441309647
37,adam,20,2,tanh,MAE,MAE,5.892299175262451,-0.11478156413404883
38,adam,20,2,tanh,MAE,MSE,118.89271545410156,-0.6978091270365356
39,adam,20,2,tanh,MSE,MeanAbsolutePercentageError,48.35207748413086,-0.9309209313318065
40,adam,20,2,tanh,MSE,MAE,10.270405769348145,-1.1985905737303786
41,adam,20,2,tanh,MSE,MSE,143.6312713623047,-1.0510798907552292
42,adam,20,2,tanh,Huber,MeanAbsolutePercentageError,28.08548355102539,-0.20476674500385839
43,adam,20,2,tanh,Huber,MAE,6.593045234680176,-0.2757673552258406
44,adam,20,2,tanh,Huber,MSE,78.82343292236328,-0.12561256408878996
45,adam,20,2,tanh,LogCosh,MeanAbsolutePercentageError,31.25065803527832,-0.20932926278994124
46,adam,20,2,tanh,LogCosh,MAE,6.403812408447266,-0.24112023634056468
47,adam,20,2,tanh,LogCosh,MSE,86.46613311767578,-0.23475171885106882
48,adam,20,2,sigmoid,MAE,MeanAbsolutePercentageError,29.978540420532227,-0.4663717404230412
