"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"26.10.2022","71,009","70,459","71,374","70,287","","0,76%"
"25.10.2022","70,471","69,179","70,735","69,087","","0,79%"
"24.10.2022","69,918","70,022","70,864","68,618","","0,33%"
"21.10.2022","69,689","69,264","69,999","67,452","","0,54%"
"20.10.2022","69,313","68,461","76,401","66,989","","1,29%"
"19.10.2022","68,433","69,618","70,923","68,188","","-1,70%"
"18.10.2022","69,618","70,471","71,360","68,852","","-1,25%"
"17.10.2022","70,498","70,024","72,755","68,406","","0,73%"
"14.10.2022","69,990","72,515","74,345","68,835","","-3,47%"
"13.10.2022","72,503","70,767","74,063","69,138","","2,58%"
"12.10.2022","70,682","71,837","73,931","68,764","","-1,60%"
"11.10.2022","71,834","70,552","73,006","67,824","","1,82%"
"10.10.2022","70,549","71,361","71,531","67,070","","3,14%"
"07.10.2022","68,401","67,558","71,370","66,464","","1,33%"
"06.10.2022","67,506","68,818","70,299","66,661","","-1,91%"
"05.10.2022","68,818","67,731","69,672","66,061","","1,67%"
"04.10.2022","67,691","65,707","69,001","65,452","","3,11%"
"03.10.2022","65,650","67,242","69,668","63,485","","-2,30%"
"30.09.2022","67,195","63,912","69,090","62,410","","5,12%"
"29.09.2022","63,923","63,030","67,422","59,891","","1,38%"
"28.09.2022","63,053","63,215","64,159","60,580","","-0,26%"
"27.09.2022","63,218","62,513","66,718","60,862","","1,12%"
"26.09.2022","62,519","62,841","66,115","59,296","","-0,51%"
"23.09.2022","62,841","67,442","69,341","62,113","","-6,79%"
"22.09.2022","67,418","68,854","69,657","66,226","","-2,08%"
"21.09.2022","68,848","69,880","74,121","67,977","","-1,48%"
"20.09.2022","69,880","68,678","71,199","67,872","","1,79%"
"19.09.2022","68,649","69,073","73,662","67,348","","-0,59%"
"16.09.2022","69,055","68,366","73,794","67,658","","1,07%"
"15.09.2022","68,325","68,905","75,728","67,001","","-0,77%"
"14.09.2022","68,858","68,384","74,965","68,031","","0,69%"
"13.09.2022","68,384","70,834","75,505","67,929","","-3,44%"
"12.09.2022","70,822","71,319","72,987","68,881","","-0,63%"
"09.09.2022","71,273","70,753","71,594","69,072","","0,74%"
"08.09.2022","70,750","70,084","74,440","69,101","","0,92%"
"07.09.2022","70,103","70,589","74,516","68,200","","-0,66%"
"06.09.2022","70,571","70,269","73,059","69,582","","0,45%"
"05.09.2022","70,253","69,428","73,378","67,345","","1,33%"
"02.09.2022","69,330","69,553","71,577","68,573","","-0,34%"
"01.09.2022","69,565","70,319","71,237","67,828","","-1,08%"
"31.08.2022","70,322","69,894","72,140","69,113","","0,55%"
"30.08.2022","69,936","72,307","72,814","69,911","","-3,28%"
"29.08.2022","72,307","70,847","76,919","69,879","","2,06%"
"26.08.2022","70,847","71,445","76,174","69,161","","-0,83%"
"25.08.2022","71,439","70,605","72,672","69,916","","1,24%"
"24.08.2022","70,564","71,342","75,913","69,828","","-1,09%"
"23.08.2022","71,342","70,809","72,163","68,612","","0,84%"
"22.08.2022","70,749","70,353","73,090","67,545","","0,52%"
"19.08.2022","70,383","71,577","72,504","68,879","","-1,69%"
"18.08.2022","71,592","72,894","73,955","70,922","","-1,79%"
"17.08.2022","72,894","74,385","75,371","71,082","","-2,00%"
"16.08.2022","74,384","74,145","75,226","72,309","","0,32%"
"15.08.2022","74,145","74,618","75,678","72,912","","-0,63%"
"12.08.2022","74,612","74,047","76,285","72,845","","0,82%"
"11.08.2022","74,005","75,356","76,853","72,082","","-1,78%"
"10.08.2022","75,346","73,039","76,838","71,416","","3,18%"
"09.08.2022","73,024","74,749","78,183","71,457","","-2,31%"
"08.08.2022","74,749","73,069","76,284","70,467","","2,35%"
"05.08.2022","73,030","75,393","76,275","71,359","","-3,17%"
"04.08.2022","75,417","74,383","76,705","71,618","","1,38%"
"03.08.2022","74,392","73,954","77,612","71,010","","0,60%"
"02.08.2022","73,945","75,926","79,464","71,336","","-2,64%"
"01.08.2022","75,951","75,728","79,478","72,945","","0,27%"
"29.07.2022","75,743","76,069","79,031","73,025","","-0,49%"
"28.07.2022","76,116","72,173","76,947","70,967","","5,55%"
"27.07.2022","72,116","72,331","75,699","70,332","","-0,27%"
"26.07.2022","72,313","70,452","74,675","67,631","","2,63%"
"25.07.2022","70,458","69,774","72,825","66,793","","0,98%"
"22.07.2022","69,774","68,369","72,517","64,010","","2,05%"
"21.07.2022","68,369","67,016","71,733","64,345","","1,99%"
"20.07.2022","67,038","67,784","69,308","63,953","","-1,08%"
"19.07.2022","67,770","68,144","70,243","65,040","","-0,53%"
"18.07.2022","68,130","67,700","73,381","64,711","","0,83%"
"15.07.2022","67,568","68,904","72,421","65,777","","-1,88%"
"14.07.2022","68,863","69,533","72,962","67,441","","-0,90%"
"13.07.2022","69,491","69,450","75,294","67,855","","0,13%"
"12.07.2022","69,403","77,260","78,989","67,950","","-10,21%"
"11.07.2022","77,292","78,069","79,944","70,397","","-0,99%"
"08.07.2022","78,069","75,845","80,972","71,821","","3,00%"
"07.07.2022","75,792","77,562","78,917","73,127","","-2,21%"
"06.07.2022","77,507","74,741","83,021","71,505","","3,70%"
"05.07.2022","74,741","67,805","81,974","64,829","","10,25%"
"04.07.2022","67,791","65,368","74,117","63,781","","3,78%"
"01.07.2022","65,319","66,977","71,396","62,280","","-2,47%"
"30.06.2022","66,974","63,667","68,292","61,544","","5,19%"
"29.06.2022","63,667","65,485","69,014","59,857","","-2,78%"
"28.06.2022","65,487","65,160","69,045","62,950","","0,56%"
"27.06.2022","65,122","65,490","69,489","63,729","","-0,56%"
"24.06.2022","65,490","66,817","70,230","63,600","","-2,00%"
"23.06.2022","66,828","67,170","69,136","63,633","","-0,51%"
"22.06.2022","67,168","66,135","68,371","62,831","","1,55%"
"21.06.2022","66,145","68,027","75,978","63,742","","-2,73%"
"20.06.2022","67,999","71,520","72,071","66,182","","-1,55%"
"17.06.2022","69,072","70,885","73,118","66,654","","-2,55%"
"16.06.2022","70,879","67,597","73,564","66,411","","4,85%"
"15.06.2022","67,600","70,171","73,019","66,184","","-3,69%"
"14.06.2022","70,189","69,795","73,508","67,012","","0,61%"
"13.06.2022","69,760","71,803","75,707","66,691","","-2,76%"
"10.06.2022","71,741","73,366","75,739","68,900","","-0,56%"
"09.06.2022","72,148","75,874","77,433","68,780","","-4,91%"
"08.06.2022","75,874","77,762","79,641","73,240","","-2,41%"
"07.06.2022","77,744","77,229","79,796","74,142","","0,66%"
"06.06.2022","77,235","79,303","80,633","73,891","","-2,40%"
"03.06.2022","79,137","79,723","82,199","75,239","","-0,72%"
"02.06.2022","79,714","79,306","84,703","75,639","","0,50%"
"01.06.2022","79,318","79,091","82,580","76,029","","0,30%"
"31.05.2022","79,078","80,986","82,290","75,631","","-2,34%"
"30.05.2022","80,973","83,904","87,381","76,245","","-3,50%"
"27.05.2022","83,910","81,484","87,718","79,070","","3,00%"
"26.05.2022","81,465","75,836","82,636","71,395","","7,42%"
"25.05.2022","75,836","72,684","76,628","67,251","","4,34%"
"24.05.2022","72,683","73,700","75,532","68,178","","-1,45%"
"23.05.2022","73,749","78,678","78,947","70,559","","-4,75%"
"20.05.2022","77,426","77,420","80,917","71,550","","0,06%"
"19.05.2022","77,377","79,902","81,659","74,807","","-3,17%"
"18.05.2022","79,909","81,677","83,395","76,359","","-2,15%"
"17.05.2022","81,667","79,599","83,537","77,019","","2,58%"
"16.05.2022","79,612","81,370","82,128","76,141","","-2,38%"
"13.05.2022","81,549","78,999","82,601","75,623","","3,22%"
"12.05.2022","79,002","81,843","83,548","76,623","","-3,40%"
"11.05.2022","81,779","86,426","87,576","80,249","","-5,37%"
"10.05.2022","86,423","86,325","88,193","82,572","","0,11%"
"09.05.2022","86,332","85,136","89,674","82,193","","1,40%"
"06.05.2022","85,140","80,370","86,623","78,177","","5,92%"
"05.05.2022","80,380","83,470","86,371","77,492","","-3,70%"
